CFI_number,ICD10_code,description
1,A00,Cholera
1,A000,Ch biovar cholerae
1,A001,Ch biovar eltor
1,A009,Ch unspecified
1,A01,Typhoid and paratyphoid fevers
1,A010,Typhoid fever
1,A011,Paratyphoid fever A
1,A012,Paratyphoid fever B
1,A013,Paratyphoid fever C
1,A014,Pa unspecified
1,A02,Other salmonella infections
1,A020,Salmonella enteritis
1,A021,Salmonella sepsis
1,A022,Localized salmonella infections
1,A028,Other specified salmonella infections
1,A029,Sa unspecified
1,A03,Shigellosis
1,A030,Shigellosis due to Shigella dysenteriae
1,A031,Shigellosis due to Shigella flexneri
1,A032,Shigellosis due to Shigella boydii
1,A033,Shigellosis due to Shigella sonnei
1,A038,Other shigellosis
1,A039,Sh unspecified
1,A04,Other bacterial intestinal infections
1,A040,Enteropathogenic Escherichia coli infection
1,A041,Enterotoxigenic Escherichia coli infection
1,A042,Enteroinvasive Escherichia coli infection
1,A043,Enterohemorrhagic Escherichia coli infection
1,A044,Other intestinal Escherichia coli infections
1,A045,Campylobacter enteritis
1,A046,Enteritis due to Yersinia enterocolitica
1,A047,Enterocolitis due to Clostridium difficile
1,A048,Other specified bacterial intestinal infections
1,A049,Ba unspecified
1,A05,Oth NEC
1,A050,Foodborne staphylococcal intoxication
1,A051,Botulism food poisoning
1,A052,Foodborne Clostridium perfringens intoxication
1,A053,Foodborne Vibrio parahaemolyticus intoxication
1,A054,Foodborne Bacillus cereus intoxication
1,A055,Foodborne Vibrio vulnificus intoxication
1,A058,Other specified bacterial foodborne intoxications
1,A059,Ba unspecified
1,A06,Amebiasis
1,A060,Acute amebic dysentery
1,A061,Chronic intestinal amebiasis
1,A062,Amebic nondysenteric colitis
1,A063,Ameboma of intestine
1,A064,Amebic liver abscess
1,A065,Amebic lung abscess
1,A066,Amebic brain abscess
1,A067,Cutaneous amebiasis
1,A068,Amebic infection of other sites
1,A069,Am unspecified
1,A07,Other protozoal intestinal diseases
1,A070,Balantidiasis
1,A071,Giardiasis [lambliasis]
1,A072,Cryptosporidiosis
1,A073,Isosporiasis
1,A074,Cyclosporiasis
1,A078,Other specified protozoal intestinal diseases
1,A079,Pr unspecified
1,A08,Viral and other specified intestinal infections
1,A080,Rotaviral enteritis
1,A081,Acute gastrent d/t Norwalk agent and oth small round viruses
